,Job Title,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Starting Salary,End Salary
17,Data Scientist,3.5,Buckman,"Memphis, TN","Memphis, TN",1001 to 5000 employees,1945,Company - Private,Chemical Manufacturing,Manufacturing,$500 million to $1 billion (USD),137000,171000
18,Data Analyst II,4.2,"Insight Enterprises, Inc.","Plano, TX","Tempe, AZ",5001 to 10000 employees,1988,Company - Public,Enterprise Software & Network Solutions,Information Technology,$5 to $10 billion (USD),137000,171000
19,Medical Lab Scientist,3.5,Tower Health,"West Grove, PA","Reading, PA",5001 to 10000 employees,2017,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,137000,171000
20,Data Scientist,3.2,Triplebyte,"New York, NY","San Francisco, CA",51 to 200 employees,2015,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,137000,171000
21,Data Scientist/Machine Learning,4.3,PulsePoint,"New York, NY","New York, NY",51 to 200 employees,2011,Company - Private,Internet,Information Technology,$100 to $500 million (USD),137000,171000
22,Human Factors Scientist,3.5,Exponent,"Phoenix, AZ","Menlo Park, CA",1001 to 5000 employees,1967,Company - Public,Consulting,Business Services,$100 to $500 million (USD),137000,171000
23,Business Intelligence Analyst I- Data Insights,3.5,Guardian Life,"Appleton, WI","New York, NY",5001 to 10000 employees,1860,Company - Private,Insurance Carriers,Insurance,$5 to $10 billion (USD),137000,171000
24,Data Scientist,3.4,Spectrum Communications and Consulting,"Chicago, IL","Chicago, IL",51 to 200 employees,1992,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million (USD),137000,171000
25,Data Scientist,4.7,Oversight Systems,"Atlanta, GA","Atlanta, GA",51 to 200 employees,2003,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),137000,171000
26,Data Scientist - Risk,4.2,LSQ,"Orlando, FL","Orlando, FL",51 to 200 employees,1996,Company - Private,Investment Banking & Asset Management,Finance,$100 to $500 million (USD),137000,171000
27,Data Scientist-Human Resources,3.8,MIT Lincoln Laboratory,"Lexington, MA","Lexington, MA",1001 to 5000 employees,1951,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,137000,171000
28,Data Scientist,4.5,Kingfisher Systems,"McLean, VA","Falls Church, VA",51 to 200 employees,2005,Company - Private,Federal Agencies,Government,$25 to $50 million (USD),137000,171000
29,Data Scientist,2.8,Formation,"San Francisco, CA","San Francisco, CA",51 to 200 employees,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,137000,171000
30,Data Scientist,3.8,Analysis Group,"Boston, MA","Boston, MA",1001 to 5000 employees,1981,Private Practice / Firm,Consulting,Business Services,$100 to $500 million (USD),75000,131000
31,Data Scientist / Machine Learning Expert,3.9,Novartis,"Cambridge, MA","Basel, Switzerland",10000+ employees,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),75000,131000
32,Data Scientist,5.0,Cohere Health,"Boston, MA","Boston, MA",1 to 50 employees,2019,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,75000,131000
33,Senior Research Statistician- Data Scientist,4.8,Acuity Insurance,"Sheboygan, WI","Sheboygan, WI",1001 to 5000 employees,1925,Company - Private,Insurance Carriers,Insurance,$1 to $2 billion (USD),75000,131000
34,Data Engineer,3.6,Chef,United States,"Seattle, WA",201 to 500 employees,2008,Company - Private,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million (USD),75000,131000
35,Associate Data Scientist,3.3,Puget Sound Energy,"Bothell, WA","Bellevue, WA",1001 to 5000 employees,1999,Company - Private,Utilities,"Oil, Gas, Energy & Utilities",$2 to $5 billion (USD),75000,131000
36,Business Intelligence Analyst,2.7,Sandhills Global,"Lincoln, NE","Lincoln, NE",1001 to 5000 employees,1978,Company - Private,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million (USD),75000,131000
37,Data Scientist,2.7,A Place for Mom,"Overland Park, KS","New York, NY",501 to 1000 employees,2000,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,75000,131000
38,Data Scientist,2.2,Great-Circle Technologies,"Chantilly, VA","Chantilly, VA",1 to 50 employees,2000,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD),75000,131000
39,Senior Analyst/Data Scientist,3.4,Edmunds.com,"Santa Monica, CA","Santa Monica, CA",501 to 1000 employees,1966,Company - Private,Internet,Information Technology,$100 to $500 million (USD),75000,131000
40,Data Analyst,3.1,"Cambridge Associates, LLC","Boston, MA","Boston, MA",501 to 1000 employees,1973,Company - Private,Investment Banking & Asset Management,Finance,$100 to $500 million (USD),75000,131000
41,Machine Learning Engineer,3.4,Liberty Mutual Insurance,"Portsmouth, NH","Boston, MA",10000+ employees,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),75000,131000
42,Data Analyst I,2.6,Cenlar,"Ewing, NJ","Ewing, NJ",1001 to 5000 employees,1958,Company - Private,Unknown,Unknown,$100 to $500 million (USD),75000,131000
43,Scientist - Molecular Biology,5.0,Arsenal Biosciences,"South San Francisco, CA","South San Francisco, CA",51 to 200 employees,2019,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,75000,131000
44,Data Scientist,4.2,Eversight,"Palo Alto, CA","Palo Alto, CA",51 to 200 employees,2013,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD),75000,131000
45,"Computational Scientist, Machine Learning",4.1,Pfizer,"Cambridge, MA","New York, NY",10000+ employees,1849,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),75000,131000
46,Senior Data Scientist,4.8,Klaviyo,"Boston, MA","Boston, MA",201 to 500 employees,2012,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,75000,131000
47,Data Scientist,3.3,Intellectual Ventures,"Bellevue, WA","Bellevue, WA",501 to 1000 employees,2000,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,75000,131000
48,Data Scientist,3.7,GovTech,"San Francisco, CA","Singapore, Singapore",1001 to 5000 employees,2016,Government,Federal Agencies,Government,Unknown / Non-Applicable,75000,131000
49,Data Scientist,4.3,Quick Base,"Cambridge, MA","Cambridge, MA",201 to 500 employees,1999,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,75000,131000
50,Data Analyst,4.8,Giving Assistant,"San Francisco, CA","San Francisco, CA",1 to 50 employees,2014,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million (USD),75000,131000
51,Data Scientist,3.7,Takeda,"Cambridge, MA","OSAKA, Japan",10000+ employees,1781,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),75000,131000
52,Data Scientist,4.0,Netskope,"San Francisco, CA","Santa Clara, CA",501 to 1000 employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,75000,131000
53,Jr. Data Engineer,4.8,IT Concepts,Remote,"Vienna, VA",51 to 200 employees,2003,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),75000,131000
54,E-Commerce Data Analyst,3.5,iSeatz,"New Orleans, LA","New Orleans, LA",51 to 200 employees,1999,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,75000,131000
55,Data Analytics Engineer,3.7,Summa Health System,"Akron, OH","Akron, OH",5001 to 10000 employees,1926,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),75000,131000
56,Senior Data Scientist,3.5,Benson Hill,"Saint Louis, MO","Saint Louis, MO",201 to 500 employees,2012,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),75000,131000
57,Product Data Scientist - Ads Data Science,4.1,Twitter,"San Francisco, CA","San Francisco, CA",1001 to 5000 employees,2006,Company - Public,Internet,Information Technology,$2 to $5 billion (USD),75000,131000
58,Data Scientist,3.2,Postmates - Corporate HQ,"San Francisco, CA","San Francisco, CA",1001 to 5000 employees,2011,Company - Private,Express Delivery Services,Transportation & Logistics,Unknown / Non-Applicable,75000,131000
59,Data Scientist - Intermediate,4.5,Envision LLC,"Saint Louis, MO","Saint Louis, MO",201 to 500 employees,1994,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),75000,131000
60,Data Analyst,3.8,Swiss Re,"Fort Wayne, IN","Zurich, Switzerland",10000+ employees,1863,Company - Public,Insurance Agencies & Brokerages,Insurance,$10+ billion (USD),75000,131000
61,Machine Learning Engineer,4.5,Systems & Technology Research,"Woburn, MA","Woburn, MA",201 to 500 employees,2010,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),75000,131000
62,Data Scientist,3.5,iRobot,"Bedford, MA","Bedford, MA",1001 to 5000 employees,1990,Company - Public,Consumer Electronics & Appliances Stores,Retail,$1 to $2 billion (USD),79000,131000
63,Data Scientist,4.2,HG Insights,"Santa Barbara, CA","Santa Barbara, CA",51 to 200 employees,2010,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,79000,131000
64,Global Data Analyst,3.8,Dermalogica,"Carson, CA","Carson, CA",201 to 500 employees,1986,Subsidiary or Business Segment,Consumer Products Manufacturing,Manufacturing,$100 to $500 million (USD),79000,131000
65,Data Engineer,3.7,Bayview Asset Management,"Coral Gables, FL","Coral Gables, FL",1001 to 5000 employees,1995,Company - Private,Investment Banking & Asset Management,Finance,$100 to $500 million (USD),79000,131000
66,Data Scientist,3.7,Via Transportation,"New York, NY","New York, NY",501 to 1000 employees,2012,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,79000,131000
67,Data Scientist,4.0,Grid Dynamics,"Santa Clara, CA","San Ramon, CA",1001 to 5000 employees,2006,Company - Private,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million (USD),79000,131000
68,Data & Machine Learning Scientist,3.3,Tempus Labs,"Chicago, IL","Chicago, IL",501 to 1000 employees,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,79000,131000
69,Data Scientist - Machine Learning,2.5,CareDx,"Brisbane, CA","Brisbane, CA",1 to 50 employees,Unknown,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,79000,131000
70,Data Engineer (Remote),4.2,IZEA,"Winter Park, FL","Winter Park, FL",51 to 200 employees,2006,Company - Public,Advertising & Marketing,Business Services,$25 to $50 million (USD),79000,131000
71,"Data Scientist, Applied Machine Learning - Bay Area",3.3,Tempus Labs,"Redwood City, CA","Chicago, IL",501 to 1000 employees,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,79000,131000
72,Principal Data Scientist,4.0,Autodesk,"San Francisco, CA","San Rafael, CA",5001 to 10000 employees,1982,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),79000,131000
73,Business Data Analyst,3.7,Caterpillar,"Peoria, IL","Deerfield, IL",10000+ employees,1925,Company - Public,Industrial Manufacturing,Manufacturing,$10+ billion (USD),79000,131000
74,Purification Scientist,4.9,New England Biolabs,"Ipswich, MA","Ipswich, MA",201 to 500 employees,1974,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,79000,131000
75,Data Analyst,3.4,Allied Solutions,"Carmel, IN","Carmel, IN",1001 to 5000 employees,2001,Subsidiary or Business Segment,Insurance Agencies & Brokerages,Insurance,$100 to $500 million (USD),79000,131000
76,"Data Engineer, Enterprise Analytics",3.1,Healthfirst,"New York, NY","New York, NY",1001 to 5000 employees,1993,Nonprofit Organization,Insurance Carriers,Insurance,Unknown / Non-Applicable,79000,131000
77,Data Scientist,3.5,The Knot Worldwide,"Washington, DC","Chevy Chase, MD",1001 to 5000 employees,2019,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,79000,131000
78,Data Scientist,2.9,IFG Companies,"New York, NY","Hartford, CT",201 to 500 employees,1985,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable,79000,131000
79,Data Scientist 3 (718),3.3,Amyris,"Emeryville, CA","Emeryville, CA",201 to 500 employees,2003,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),79000,131000
80,"Real World Science, Data Scientist",4.0,AstraZeneca,"Gaithersburg, MD","Cambridge, United Kingdom",10000+ employees,1913,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),79000,131000
81,Data Scientist,3.6,Powertek,"Washington, DC","Rockville, MD",51 to 200 employees,2001,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),79000,131000
82,Data Engineer,4.7,Object Partners,"Saint Louis, MO","Minneapolis, MN",51 to 200 employees,1996,Company - Private,Consulting,Business Services,$25 to $50 million (USD),79000,131000
83,Data Scientist - Image and Video Analytics,4.9,The Mom Project,"Longmont, CO","Chicago, IL",1 to 50 employees,2016,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,79000,131000
84,Data Scientist,4.3,Lightspeed Systems,"Austin, TX","Austin, TX",51 to 200 employees,1999,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),79000,131000
85,"Data Science Manager, Payment Acceptance - USA",4.0,Stripe,"San Francisco, CA","San Francisco, CA",1001 to 5000 employees,2010,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,79000,131000
86,Data Analyst,2.6,Comprehensive Healthcare,"Yakima, WA","Yakima, WA",501 to 1000 employees,1971,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,79000,131000
87,Data Scientist / Applied Mathematician,4.5,"Fullpower Technologies, Inc.","Santa Cruz, CA","Santa Cruz, CA",51 to 200 employees,2003,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),79000,131000
88,Machine Learning Engineer,4.8,Klaviyo,"Boston, MA","Boston, MA",201 to 500 employees,2012,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,79000,131000
89,Data Scientist,3.9,Mars,United States,"Mc Lean, VA",10000+ employees,1911,Company - Private,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD),79000,131000
90,Patient Safety- Associate Data Scientist,4.0,AstraZeneca,"Gaithersburg, MD","Cambridge, United Kingdom",10000+ employees,1913,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),79000,131000
91,Machine Learning Engineer,4.4,NuWave Solutions,"Springfield, VA","Mc Lean, VA",51 to 200 employees,1999,Company - Private,IT Services,Information Technology,$5 to $10 million (USD),79000,131000
92,Senior Data Scientist,4.2,ManTech,"Alexandria, VA","Herndon, VA",5001 to 10000 employees,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),79000,131000
93,(Sr.) Data Scientist -,3.6,Merrick Bank,Utah,"South Jordan, UT",201 to 500 employees,1997,Company - Private,Banks & Credit Unions,Finance,Unknown / Non-Applicable,79000,131000
94,Data Scientist,3.4,Mathematica Policy Research,"Washington, DC","Princeton, NJ",1001 to 5000 employees,1986,Company - Private,Consulting,Business Services,$100 to $500 million (USD),99000,132000
95,Staff Data Scientist - Analytics,4.4,Intuit - Data,"San Diego, CA","Mountain View, CA",5001 to 10000 employees,1983,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),99000,132000
96,Data Analytics Engineer,3.5,QOMPLX,"Reston, VA","Reston, VA",51 to 200 employees,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD),99000,132000
97,"Data Scientist, Kinship - NYC/Portland",3.9,Mars,"New York, NY","Mc Lean, VA",10000+ employees,1911,Company - Private,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD),99000,132000
98,Senior Data Scientist,3.8,GutCheck,"Denver, CO","Denver, CO",51 to 200 employees,2009,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million (USD),99000,132000
99,Applied Technology Researcher / Data Scientist,3.5,Inter-American Development Bank,"Washington, DC","Washington, DC",1001 to 5000 employees,1959,Other Organization,Banks & Credit Unions,Finance,$10+ billion (USD),99000,132000
100,Data Scientist,4.9,Avlino,New Jersey,"Holmdel, NJ",1 to 50 employees,2013,Company - Private,Enterprise Software & Network Solutions,Information Technology,Less than $1 million (USD),99000,132000
101,Machine Learning Engineer,4.4,Stratagem Group,"Aurora, CO","Aurora, CO",1 to 50 employees,2007,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,99000,132000
102,Health Data Scientist - Biomedical/Biostats,4.1,Evidation,"Santa Barbara, CA","San Mateo, CA",51 to 200 employees,2012,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,99000,132000
103,Senior Data Scientist,4.0,Autodesk,"San Francisco, CA","San Rafael, CA",5001 to 10000 employees,1982,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),99000,132000
104,Staff Data Scientist,4.4,Intuit - Data,"San Diego, CA","Mountain View, CA",5001 to 10000 employees,1983,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),99000,132000
105,Data Scientist,3.8,Tecolote Research,"Hill AFB, UT","Goleta, CA",501 to 1000 employees,1973,Company - Private,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD),99000,132000
106,Sr Data Engineer (Sr BI Developer),3.2,Tivity Health,"Chandler, AZ","Franklin, TN",501 to 1000 employees,1981,Company - Public,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,99000,132000
107,Data Engineer,2.9,hc1,"Indianapolis, IN","Indianapolis, IN",51 to 200 employees,2011,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10 to $25 million (USD),99000,132000
108,Lead Data Scientist,4.1,HP Inc.,"San Diego, CA","Palo Alto, CA",10000+ employees,1939,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,99000,132000
109,Data Scientist,3.7,SAIC,"Chantilly, VA","Reston, VA",10000+ employees,2013,Company - Public,Enterprise Software & Network Solutions,Information Technology,$5 to $10 million (USD),99000,132000
110,RFP Data Analyst,3.2,AllianceBernstein,"Nashville, TN","New York, NY",1001 to 5000 employees,1967,Company - Public,Investment Banking & Asset Management,Finance,$2 to $5 billion (USD),99000,132000
111,Data Analyst,4.9,Big Huge Games,"Timonium, MD","Lutherville Timonium, MD",51 to 200 employees,2013,Subsidiary or Business Segment,Video Games,Media,Unknown / Non-Applicable,99000,132000
112,Data Scientist (TS/SCI),3.5,Maxar Technologies,"Herndon, VA","Westminster, CO",5001 to 10000 employees,Unknown,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD),99000,132000
113,Data Engineer,5.0,Phantom AI,"Burlingame, CA","Burlingame, CA",1 to 50 employees,2016,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,99000,132000
114,Data Scientist,4.0,Noblis,"Reston, VA","Reston, VA",1001 to 5000 employees,1996,Nonprofit Organization,Consulting,Business Services,$100 to $500 million (USD),99000,132000
115,Data Scientist,3.6,Spring Health,"New York, NY","New York, NY",1 to 50 employees,2016,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,99000,132000
116,Software Engineer - Data Science,4.0,ClearEdge,"Annapolis Junction, MD","Annapolis Junction, MD",51 to 200 employees,2002,Company - Private,Computer Hardware & Software,Information Technology,$5 to $10 million (USD),99000,132000
117,Data Analyst/Engineer,3.2,AllianceBernstein,"Nashville, TN","New York, NY",1001 to 5000 employees,1967,Company - Public,Investment Banking & Asset Management,Finance,$2 to $5 billion (USD),99000,132000
118,NGS Scientist,5.0,Arsenal Biosciences,"South San Francisco, CA","South San Francisco, CA",51 to 200 employees,2019,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,99000,132000
119,Data Engineer,4.8,GetWellNetwork,"Bethesda, MD","Bethesda, MD",201 to 500 employees,2000,Company - Private,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD),99000,132000
120,Data Scientist,4.5,TACG Solutions,"Dayton, OH","Beavercreek, OH",51 to 200 employees,2006,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,99000,132000
121,Senior Data Engineer,4.7,Scoop,"San Francisco, CA","San Francisco, CA",51 to 200 employees,2015,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,99000,132000
122,Senior Data Scientist,4.5,Novetta,"Herndon, VA","Mc Lean, VA",501 to 1000 employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),99000,132000
123,Data Engineer,4.2,IZEA,"Winter Park, FL","Winter Park, FL",51 to 200 employees,2006,Company - Public,Advertising & Marketing,Business Services,$25 to $50 million (USD),99000,132000
124,Business Intelligence Analyst,3.4,Montway Inc,"Schaumburg, IL","Schaumburg, IL",51 to 200 employees,2006,Company - Private,Shipping,Transportation & Logistics,Unknown / Non-Applicable,99000,132000
125,Sr. ML/Data Scientist - AI/NLP/Chatbot,3.8,Juniper Networks,"Cupertino, CA","Sunnyvale, CA",5001 to 10000 employees,1996,Company - Public,Telecommunications Services,Telecommunications,$2 to $5 billion (USD),99000,132000
126,Data Scientist,4.7,1904labs,"Saint Louis, MO","Saint Louis, MO",51 to 200 employees,2016,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,90000,109000
127,Data Scientist,3.6,XSELL Technologies,"Chicago, IL","Chicago, IL",51 to 200 employees,2014,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,90000,109000
128,Data Engineer,4.2,IZEA,"Winter Park, FL","Winter Park, FL",51 to 200 employees,2006,Company - Public,Advertising & Marketing,Business Services,$25 to $50 million (USD),90000,109000
129,Sr. ML/Data Scientist - AI/NLP/Chatbot,3.8,Juniper Networks,"Cupertino, CA","Sunnyvale, CA",5001 to 10000 employees,1996,Company - Public,Telecommunications Services,Telecommunications,$2 to $5 billion (USD),90000,109000
130,Data Scientist,5.0,Notion Labs,"San Francisco, CA","San Francisco, CA",1 to 50 employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,90000,109000
131,Senior Data Engineer,4.9,Lendio,"Lehi, UT","Lehi, UT",201 to 500 employees,2011,Company - Private,Lending,Finance,$50 to $100 million (USD),90000,109000
132,Data Engineer,4.4,Direct Agents,"Culver City, CA","New York, NY",51 to 200 employees,2003,Company - Private,Advertising & Marketing,Business Services,$25 to $50 million (USD),90000,109000
133,Data Scientist,3.3,NAVEX Global,"Lake Oswego, OR","Lake Oswego, OR",1001 to 5000 employees,2012,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),90000,109000
134,Machine Learning Engineer,3.2,Triplebyte,Remote,"San Francisco, CA",51 to 200 employees,2015,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,90000,109000
135,Machine Learning Engineer,3.2,Triplebyte,Remote,"San Francisco, CA",51 to 200 employees,2015,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,90000,109000
136,Senior Data Engineer,4.9,Lendio,"Lehi, UT","Lehi, UT",201 to 500 employees,2011,Company - Private,Lending,Finance,$50 to $100 million (USD),90000,109000
137,Data Scientist,4.2,Upstart,"San Mateo, CA","San Mateo, CA",201 to 500 employees,2012,Company - Private,Lending,Finance,Unknown / Non-Applicable,90000,109000
138,Data Analyst,4.5,Envision LLC,"San Francisco, CA","Saint Louis, MO",201 to 500 employees,1994,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),90000,109000
139,Data Engineer,4.8,AppLovin,"Palo Alto, CA","Palo Alto, CA",201 to 500 employees,2012,Company - Private,Video Games,Media,Unknown / Non-Applicable,90000,109000
140,Data Integration and Modeling Engineer,3.8,ISO New England,"Holyoke, MA","Holyoke, MA",501 to 1000 employees,1997,Nonprofit Organization,Utilities,"Oil, Gas, Energy & Utilities",Unknown / Non-Applicable,90000,109000
141,Tableau Data Engineer 20-0117,3.7,Relativity,"Chicago, IL","Chicago, IL",1001 to 5000 employees,2001,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,90000,109000
142,Senior Data Scientist,3.3,Tempo Automation,"San Francisco, CA","San Francisco, CA",51 to 200 employees,2013,Company - Private,Electrical & Electronic Manufacturing,Manufacturing,$5 to $10 million (USD),90000,109000
